order_key,Order ID,Order Date
94,CA-2016-131457,2016-10-31
95,CA-2015-140004,2015-03-21
96,CA-2018-107720,2018-11-06
97,US-2018-124303,2018-07-06
98,CA-2018-105074,2018-06-24
99,CA-2015-133690,2015-08-03
100,US-2018-116701,2018-12-17
101,CA-2018-126382,2018-06-03
102,CA-2018-108329,2018-12-09
103,CA-2018-135860,2018-12-01
104,CA-2016-101007,2016-02-09
105,CA-2016-146262,2016-01-02
106,CA-2017-130162,2017-10-28
107,CA-2016-169397,2016-12-24
108,CA-2016-163055,2016-08-09
109,US-2016-145436,2016-02-28
110,US-2015-156216,2015-09-13
111,US-2018-100930,2018-04-07
112,CA-2018-160514,2018-11-12
113,CA-2017-157749,2017-06-04
114,CA-2015-131926,2015-06-01
115,CA-2017-154739,2017-12-10
116,CA-2017-145625,2017-09-11
117,CA-2017-146941,2017-12-10
118,US-2016-159982,2016-11-28
119,CA-2018-163139,2018-12-01
120,US-2018-155299,2018-06-08
121,US-2015-106992,2015-09-19
122,CA-2017-125318,2017-06-06
123,CA-2016-155040,2016-11-10
124,CA-2018-136826,2018-06-16
125,CA-2017-111010,2017-01-22
126,US-2018-145366,2018-12-09
127,CA-2018-163979,2018-12-28
128,CA-2016-155334,2016-07-30
129,CA-2018-118136,2018-09-16
130,CA-2018-132976,2018-10-13
131,US-2016-161991,2016-09-26
132,CA-2016-130890,2016-11-02
133,CA-2016-130883,2016-09-26
134,CA-2017-112697,2017-12-18
135,CA-2017-110772,2017-11-20
136,CA-2015-111451,2015-12-26
137,CA-2017-142545,2017-10-28
138,US-2018-152380,2018-11-19
139,CA-2016-144253,2016-05-04
140,CA-2015-130960,2015-12-30
141,CA-2015-111003,2015-06-01
142,CA-2018-126774,2018-04-15
143,CA-2017-142902,2017-09-12
144,CA-2015-120887,2015-09-27
145,CA-2015-167850,2015-08-09
146,CA-2015-164259,2015-12-28
147,CA-2015-164973,2015-11-04
148,CA-2015-156601,2015-09-19
149,CA-2017-162138,2017-04-23
150,CA-2018-153339,2018-11-03
151,US-2017-141544,2017-08-30
152,US-2017-150147,2017-04-25
153,CA-2016-137946,2016-09-01
154,CA-2015-129924,2015-07-12
155,CA-2016-128167,2016-06-22
156,CA-2015-122336,2015-04-13
157,US-2016-120712,2016-12-20
158,CA-2018-169901,2018-06-15
159,CA-2018-134306,2018-07-08
160,CA-2017-129714,2017-09-01
161,CA-2017-138520,2017-04-08
162,CA-2017-130001,2017-04-23
163,CA-2018-155698,2018-03-08
164,CA-2018-144904,2018-09-25
165,CA-2015-123344,2015-09-24
166,CA-2017-155516,2017-10-21
167,CA-2018-104745,2018-05-29
168,US-2015-119137,2015-07-23
169,US-2017-134656,2017-09-28
170,US-2018-134481,2018-08-27
171,CA-2016-130792,2016-04-28
172,CA-2017-134775,2017-10-28
173,CA-2016-125395,2016-06-26
174,US-2016-168935,2016-11-27
175,CA-2016-122756,2016-12-03
176,CA-2015-115973,2015-11-24
177,CA-2018-101798,2018-12-11
178,US-2015-135972,2015-09-21
179,US-2015-134971,2015-06-07
180,CA-2018-102946,2018-06-30
181,CA-2018-165603,2018-10-17
182,CA-2016-122259,2016-10-31
183,CA-2017-108987,2017-09-08
184,CA-2015-113166,2015-12-24
185,CA-2015-155208,2015-04-16
186,CA-2018-117933,2018-12-24
187,CA-2018-117457,2018-12-08
188,CA-2018-142636,2018-11-03
189,CA-2018-122105,2018-06-24
190,CA-2017-148796,2017-04-14
191,CA-2018-154816,2018-11-06
192,CA-2018-110478,2018-03-04
193,CA-2015-142048,2015-06-22
194,CA-2018-125388,2018-10-19
195,CA-2018-155705,2018-08-21
196,CA-2018-149160,2018-11-23
197,CA-2015-101476,2015-09-12
198,CA-2018-152275,2018-10-01
199,US-2017-123750,2017-04-15
200,CA-2017-127369,2017-06-06
201,US-2015-150574,2015-12-19
202,CA-2017-147375,2017-06-12
203,CA-2018-130043,2018-09-15
204,CA-2018-157252,2018-01-20
205,CA-2017-115756,2017-09-05
206,CA-2018-154214,2018-03-20
207,CA-2017-166674,2017-04-01
208,CA-2018-147277,2018-10-20
209,CA-2017-100153,2017-12-13
210,US-2015-110674,2015-02-12
211,US-2017-157945,2017-09-26
212,CA-2016-109638,2016-12-15
213,CA-2017-109869,2017-04-22
214,US-2016-101399,2016-01-17
215,CA-2018-154907,2018-03-31
216,US-2017-100419,2017-12-16
217,CA-2016-154144,2016-12-20
218,CA-2015-144666,2015-11-09
219,CA-2017-103891,2017-07-12
220,CA-2017-152632,2017-10-27
221,CA-2017-100790,2017-06-26
222,CA-2015-134677,2015-10-06
223,CA-2015-127691,2015-07-22
224,CA-2018-140963,2018-06-10
225,CA-2015-154627,2015-10-29
226,CA-2015-133753,2015-06-09
227,CA-2015-113362,2015-09-14
228,CA-2017-169166,2017-05-09
229,US-2017-120929,2017-03-18
230,CA-2016-134782,2016-12-27
231,CA-2017-126158,2017-07-25
232,US-2017-105578,2017-05-30
233,CA-2018-134978,2018-11-12
234,CA-2016-145352,2016-03-16
235,CA-2018-135307,2018-11-26
236,CA-2017-106341,2017-10-20
237,CA-2018-163405,2018-12-21
238,CA-2018-127432,2018-01-22
239,CA-2016-157812,2016-03-22
240,CA-2018-145142,2018-01-23
241,US-2017-139486,2017-05-21
242,CA-2016-158792,2016-12-26
243,CA-2018-113558,2018-10-21
244,US-2016-138303,2016-09-03
245,CA-2016-102848,2016-11-07
246,US-2018-129441,2018-09-07
247,CA-2017-168753,2017-05-29
248,CA-2017-126613,2017-07-10
249,US-2018-122637,2018-09-03
250,CA-2016-147851,2016-12-03
251,CA-2016-134894,2016-12-07
252,CA-2015-140795,2015-02-01
253,CA-2017-136924,2017-07-14
254,US-2016-120161,2016-12-18
255,CA-2015-103849,2015-05-11
256,CA-2018-162929,2018-11-19
257,CA-2016-113173,2016-11-15
258,CA-2017-136406,2017-04-15
259,CA-2018-112774,2018-09-11
260,CA-2018-101945,2018-11-24
261,CA-2018-100650,2018-06-29
262,CA-2015-155852,2015-03-03
263,CA-2017-113243,2017-06-10
264,CA-2018-118731,2018-11-20
265,CA-2015-145576,2015-09-14
266,CA-2016-130736,2016-12-07
267,CA-2018-137099,2018-12-07
268,CA-2018-156951,2018-10-01
269,CA-2018-164826,2018-12-28
270,CA-2017-127250,2017-11-03
271,CA-2016-149713,2016-09-18
272,CA-2018-118640,2018-07-20
273,CA-2016-132906,2016-09-10
274,CA-2018-145233,2018-12-01
275,CA-2016-128139,2016-07-03
276,US-2017-156986,2017-03-20
277,CA-2015-135405,2015-01-09
278,CA-2015-131450,2015-08-08
279,CA-2017-120180,2017-07-14
280,US-2017-100720,2017-07-16
281,CA-2015-149958,2015-03-15
282,US-2015-105767,2015-05-23
283,CA-2017-161816,2017-04-28
284,CA-2017-121223,2017-09-11
285,CA-2018-138611,2018-11-14
286,CA-2018-117947,2018-08-18
287,US-2015-111171,2015-12-26
288,CA-2016-138009,2016-11-29
289,CA-2018-163020,2018-09-15
290,CA-2018-153787,2018-05-19
291,CA-2018-133431,2018-12-17
292,US-2017-135720,2017-12-11
293,CA-2018-144694,2018-09-24
294,CA-2016-168004,2016-10-04
295,US-2017-123470,2017-08-15
296,CA-2017-115917,2017-05-20
297,CA-2017-147067,2017-12-18
298,CA-2018-167913,2018-07-30
299,CA-2018-106103,2018-06-10
300,US-2018-127719,2018-07-21
301,CA-2018-126221,2018-12-30
302,CA-2017-103947,2017-04-01
303,CA-2017-160745,2017-12-11
304,CA-2017-132661,2017-10-23
305,CA-2018-140844,2018-06-19
306,CA-2017-137239,2017-08-22
307,US-2017-156097,2017-09-19
308,CA-2016-146563,2016-08-24
309,CA-2017-123666,2017-03-26
310,CA-2017-143308,2017-11-04
311,CA-2018-132682,2018-06-08
312,CA-2015-156314,2015-12-24
313,US-2018-106663,2018-06-09
314,CA-2018-111178,2018-06-15
315,CA-2018-130351,2018-12-05
316,US-2018-119438,2018-03-18
317,CA-2017-164511,2017-11-19
318,US-2018-168116,2018-11-04
319,CA-2015-157784,2015-07-05
320,CA-2018-161480,2018-12-25
321,US-2015-117135,2015-06-21
322,CA-2016-131534,2016-03-28
323,CA-2016-119291,2016-05-14
324,CA-2018-114552,2018-09-02
325,CA-2017-163755,2017-11-04
326,CA-2016-142027,2016-04-09
327,CA-2015-138527,2015-09-12
328,CA-2015-112158,2015-12-02
329,CA-2015-113887,2015-04-05
330,CA-2018-146136,2018-09-03
331,US-2018-100048,2018-05-19
332,CA-2015-153150,2015-07-01
333,CA-2015-130092,2015-01-11
334,CA-2018-108910,2018-09-24
335,CA-2015-104472,2015-06-02
336,CA-2017-112942,2017-02-13
337,CA-2017-142335,2017-12-15
338,CA-2015-117429,2015-10-07
339,CA-2017-114713,2017-07-07
340,CA-2018-144113,2018-09-16
341,US-2017-150861,2017-12-03
342,CA-2018-131954,2018-01-21
343,CA-2015-132500,2015-09-08
344,CA-2015-112326,2015-01-04
345,US-2017-146710,2017-08-27
346,CA-2015-124429,2015-05-27
347,CA-2017-150889,2017-03-20
348,CA-2018-126074,2018-10-02
349,CA-2017-110499,2017-04-07
350,CA-2016-135272,2016-12-07
351,CA-2017-140928,2017-09-18
352,CA-2015-106803,2015-12-29
353,CA-2018-117240,2018-07-23
354,CA-2018-133333,2018-09-18
355,CA-2016-112319,2016-08-31
356,CA-2018-126046,2018-11-03
357,CA-2016-114923,2016-02-08
358,CA-2015-162775,2015-01-13
359,CA-2015-106810,2015-05-14
360,CA-2017-157245,2017-05-19
361,CA-2018-104220,2018-01-30
362,CA-2015-165974,2015-06-29
363,CA-2016-144267,2016-08-21
364,US-2016-157014,2016-10-03
365,CA-2016-154921,2016-05-23
366,CA-2018-129567,2018-03-17
367,CA-2016-154620,2016-12-12
368,CA-2016-115938,2016-06-26
369,CA-2017-105256,2017-05-20
370,CA-2015-156433,2015-09-20
371,CA-2018-151428,2018-09-21
372,CA-2016-124653,2016-12-24
373,CA-2016-101910,2016-11-27
374,CA-2018-105809,2018-02-20
375,CA-2017-136133,2017-08-18
376,CA-2017-115504,2017-03-12
377,CA-2018-135783,2018-04-22
378,CA-2015-134313,2015-11-01
379,CA-2016-140921,2016-02-03
380,CA-2015-151995,2015-10-13
381,CA-2018-143686,2018-05-14
382,CA-2016-106565,2016-03-20
383,CA-2017-149370,2017-09-15
384,CA-2015-140858,2015-06-28
385,CA-2018-101434,2018-06-20
386,US-2015-102071,2015-05-09
387,CA-2018-126956,2018-08-21
388,CA-2018-129462,2018-06-16
389,CA-2017-165316,2017-07-23
390,US-2015-115987,2015-09-08
391,US-2018-156083,2018-11-04
392,US-2017-137547,2017-03-07
393,CA-2016-100454,2016-11-20
394,CA-2017-161669,2017-11-07
395,CA-2016-114300,2016-10-13
396,CA-2018-107503,2018-01-01
397,CA-2015-107755,2015-02-07
398,CA-2017-152534,2017-06-20
399,CA-2017-113747,2017-05-28
400,CA-2017-123274,2017-02-19
401,CA-2015-125612,2015-08-03
402,CA-2018-161984,2018-04-10
403,CA-2015-133851,2015-06-09
404,CA-2017-134474,2017-01-05
405,CA-2015-149020,2015-01-10
406,CA-2017-134362,2017-09-29
407,CA-2015-136742,2015-04-06
408,CA-2017-158099,2017-09-03
409,CA-2016-131128,2016-10-19
410,CA-2015-148488,2015-12-10
411,CA-2018-114636,2018-08-25
412,CA-2017-116736,2017-01-17
413,US-2015-158638,2015-09-17
414,CA-2018-111689,2018-11-30
415,CA-2016-129098,2016-10-09
416,US-2018-123463,2018-12-23
417,CA-2017-165148,2017-10-22
418,CA-2015-134061,2015-04-29
419,CA-2016-143602,2016-04-25
420,CA-2018-115364,2018-06-26
421,CA-2018-150707,2018-10-14
422,CA-2015-104976,2015-12-09
423,CA-2018-132934,2018-06-20
424,CA-2018-133256,2018-06-26
425,CA-2017-105494,2017-11-10
426,CA-2017-140634,2017-10-03
427,CA-2015-144407,2015-09-09
428,CA-2018-160983,2018-10-29
429,US-2017-114622,2017-04-10
430,CA-2018-150959,2018-11-11
431,CA-2018-132353,2018-09-15
432,CA-2017-130477,2017-04-08
433,CA-2018-143259,2018-12-30
434,CA-2018-137596,2018-09-02
435,CA-2016-133627,2016-05-31
436,CA-2018-102519,2018-11-27
437,US-2015-141215,2015-06-15
438,CA-2017-165218,2017-03-05
439,CA-2015-138296,2015-12-05
440,CA-2016-111164,2016-04-11
441,CA-2017-149797,2017-09-15
442,CA-2015-132962,2015-09-13
443,CA-2016-115091,2016-10-05
444,CA-2018-144932,2018-04-14
445,CA-2018-114216,2018-09-02
446,CA-2017-140081,2017-06-20
447,US-2018-111745,2018-11-05
448,CA-2016-148250,2016-12-13
449,CA-2017-105760,2017-06-19
450,CA-2017-142958,2017-12-13
451,CA-2016-120880,2016-05-29
452,US-2016-140200,2016-07-26
453,US-2018-110576,2018-11-28
454,CA-2018-131156,2018-04-03
455,CA-2018-136539,2018-12-28
456,CA-2018-119305,2018-11-30
457,CA-2018-102414,2018-05-15
458,CA-2016-112571,2016-09-22
459,CA-2018-152142,2018-11-14
460,CA-2016-160059,2016-11-27
461,CA-2017-120859,2017-09-01
462,CA-2015-127488,2015-09-22
463,CA-2018-135279,2018-04-09
464,CA-2015-115791,2015-01-16
465,US-2018-103247,2018-10-05
466,US-2018-100209,2018-07-09
467,CA-2018-159366,2018-01-07
468,CA-2017-145499,2017-05-30
469,CA-2016-157035,2016-12-09
470,CA-2017-144939,2017-10-03
471,CA-2015-163419,2015-11-11
472,CA-2018-100314,2018-09-29
473,CA-2016-146829,2016-03-10
474,CA-2018-167899,2018-05-21
475,CA-2016-153549,2016-03-29
476,CA-2017-110023,2017-09-09
477,CA-2017-105585,2017-08-26
478,CA-2015-117639,2015-05-21
479,CA-2016-162537,2016-10-28
480,CA-2017-155488,2017-11-13
481,CA-2016-124891,2016-07-31
482,CA-2016-126445,2016-08-27
483,CA-2016-111199,2016-11-13
484,CA-2016-105312,2016-11-06
485,US-2018-106705,2018-12-26
486,CA-2018-135034,2018-08-01
487,CA-2015-158540,2015-11-24
488,CA-2018-118437,2018-06-17
489,US-2016-126214,2016-12-21
490,CA-2016-133025,2016-09-17
491,CA-2016-108665,2016-07-06
492,CA-2016-124450,2016-04-27
493,CA-2016-167269,2016-06-16
494,CA-2018-106964,2018-12-17
495,CA-2017-126529,2017-01-11
496,CA-2015-163552,2015-07-11
497,CA-2017-109820,2017-11-20
498,CA-2017-113061,2017-04-22
499,CA-2016-127418,2016-06-13
500,CA-2018-121818,2018-11-20
501,CA-2017-127670,2017-03-20
502,CA-2017-102981,2017-09-06
503,CA-2018-115651,2018-07-09
504,CA-2018-152702,2018-10-12
505,CA-2017-169103,2017-03-08
506,CA-2015-139192,2015-05-27
507,US-2016-153500,2016-07-03
508,CA-2016-110667,2016-04-04
509,CA-2018-167150,2018-12-10
510,CA-2017-105284,2017-11-24
511,US-2016-125374,2016-03-23
512,CA-2016-161263,2016-04-16
513,CA-2017-157686,2017-10-01
514,US-2018-139955,2018-09-28
515,US-2016-150161,2016-07-25
516,CA-2016-144652,2016-11-20
517,CA-2017-152814,2017-04-28
518,CA-2018-106943,2018-11-14
519,CA-2017-134348,2017-11-12
520,CA-2017-161781,2017-09-29
521,CA-2018-132521,2018-09-23
522,CA-2016-110016,2016-11-29
523,US-2017-143819,2017-03-01
524,CA-2017-167584,2017-08-12
525,CA-2017-166163,2017-08-15
526,CA-2018-158407,2018-06-04
527,CA-2016-143490,2016-12-06
528,CA-2016-165085,2016-12-27
529,CA-2018-160423,2018-01-21
530,CA-2015-159338,2015-06-25
531,CA-2017-107216,2017-06-14
532,US-2018-145863,2018-04-21
533,CA-2017-112340,2017-10-21
534,US-2017-110156,2017-11-19
535,CA-2018-140585,2018-12-18
536,CA-2017-144855,2017-07-22
537,CA-2016-142755,2016-09-04
538,US-2015-147627,2015-01-20
539,CA-2016-105970,2016-03-02
540,CA-2017-112102,2017-04-12
541,US-2017-114776,2017-12-06
542,US-2017-134908,2017-06-05
543,US-2017-148803,2017-12-11
544,CA-2017-152170,2017-11-12
545,CA-2015-146969,2015-09-29
546,CA-2016-112452,2016-04-04
547,CA-2016-113971,2016-05-08
548,CA-2017-160395,2017-12-31
549,CA-2015-136567,2015-12-20
550,CA-2017-149314,2017-07-02
551,CA-2018-147039,2018-06-29
552,CA-2015-126522,2015-09-01
553,CA-2015-127964,2015-03-03
554,CA-2015-117709,2015-05-04
555,CA-2016-125416,2016-11-02
556,CA-2018-145226,2018-12-08
557,US-2015-100279,2015-03-10
558,CA-2015-158064,2015-04-21
559,US-2016-104430,2016-10-22
560,CA-2016-132080,2016-08-22
561,CA-2017-161207,2017-08-29
562,CA-2015-120243,2015-12-27
563,CA-2017-113621,2017-12-01
564,CA-2017-168081,2017-04-24
565,CA-2015-128146,2015-06-21
566,CA-2018-138779,2018-01-14
567,CA-2015-127131,2015-11-24
568,CA-2018-117212,2018-02-26
569,US-2016-130519,2016-09-15
570,CA-2017-130946,2017-04-08
571,CA-2017-114727,2017-07-18
572,CA-2018-133235,2018-08-01
573,CA-2017-137050,2017-07-14
574,US-2018-118087,2018-09-09
575,CA-2015-110184,2015-07-12
576,CA-2017-126004,2017-12-04
577,CA-2018-100013,2018-11-06
578,CA-2016-132570,2016-10-31
579,CA-2017-153682,2017-05-30
580,CA-2017-144344,2017-10-28
581,CA-2015-127012,2015-08-11
582,CA-2017-128727,2017-08-29
583,US-2017-162859,2017-02-15
584,CA-2018-133641,2018-05-14
585,CA-2015-168494,2015-12-12
586,CA-2018-115602,2018-12-18
587,CA-2016-154956,2016-07-04
588,CA-2018-144638,2018-03-10
589,US-2017-168620,2017-12-24
590,CA-2018-117079,2018-10-23
591,US-2017-144393,2017-10-28
592,CA-2018-105053,2018-07-07
593,CA-2017-155992,2017-10-01
594,CA-2018-110380,2018-09-02
595,US-2015-167738,2015-12-24
596,CA-2018-121412,2018-09-23
597,CA-2018-100426,2018-06-04
598,US-2017-103646,2017-04-21
599,CA-2017-119186,2017-05-26
600,CA-2017-148698,2017-05-02
601,CA-2015-163293,2015-09-08
602,CA-2017-160815,2017-09-05
603,CA-2018-122154,2018-04-09
604,US-2016-149692,2016-12-06
605,CA-2017-119445,2017-06-26
606,CA-2016-124268,2016-07-04
607,CA-2017-154711,2017-11-22
608,CA-2017-163384,2017-11-10
609,CA-2016-101707,2016-08-27
610,CA-2016-138898,2016-05-25
611,CA-2018-115427,2018-12-30
612,CA-2017-134425,2017-12-08
613,CA-2016-121391,2016-10-04
614,CA-2017-137043,2017-12-23
615,CA-2016-115847,2016-09-19
616,US-2018-126179,2018-07-03
617,CA-2017-101966,2017-07-14
618,CA-2017-141397,2017-06-20
619,CA-2017-141082,2017-12-09
620,US-2017-134488,2017-09-24
621,CA-2017-145919,2017-12-18
622,CA-2018-157651,2018-12-10
623,CA-2015-160773,2015-07-01
624,CA-2018-167703,2018-02-03
625,CA-2018-121804,2018-03-03
626,CA-2018-162635,2018-10-09
627,CA-2015-107153,2015-09-28
628,US-2015-117058,2015-05-27
629,CA-2016-120439,2016-06-14
630,CA-2017-128258,2017-03-30
631,CA-2018-106033,2018-10-15
632,CA-2017-142762,2017-05-23
633,CA-2018-127705,2018-06-02
634,CA-2015-122567,2015-02-16
635,CA-2015-121664,2015-05-06
636,CA-2017-122133,2017-05-16
637,US-2018-123281,2018-04-02
638,CA-2018-100524,2018-03-31
639,CA-2018-113481,2018-01-02
640,CA-2016-131758,2016-05-28
641,CA-2015-118339,2015-03-17
642,CA-2015-153976,2015-10-03
643,CA-2017-162901,2017-03-28
644,CA-2018-162978,2018-05-04
645,US-2015-160444,2015-07-05
646,CA-2017-145247,2017-05-05
647,CA-2018-160045,2018-04-26
648,US-2015-151925,2015-09-26
649,CA-2018-125199,2018-10-19
650,US-2018-155425,2018-11-10
651,CA-2018-133249,2018-07-08
652,US-2016-103471,2016-12-24
653,CA-2018-136672,2018-03-07
654,US-2015-157021,2015-04-01
655,CA-2016-120362,2016-09-14
656,CA-2015-126361,2015-08-04
657,US-2017-100566,2017-09-03
658,US-2017-108504,2017-02-05
659,CA-2018-124828,2018-07-03
660,US-2018-117247,2018-10-09
661,CA-2017-124485,2017-11-24
662,CA-2017-159212,2017-11-01
663,US-2017-161396,2017-04-19
664,US-2015-118486,2015-04-06
665,CA-2017-130407,2017-09-02
666,US-2017-122245,2017-09-25
667,CA-2018-105144,2018-11-04
668,CA-2017-136329,2017-07-09
669,CA-2015-146640,2015-06-30
670,CA-2018-115994,2018-01-28
671,CA-2016-126697,2016-09-21
672,CA-2016-124800,2016-09-26
673,US-2016-164448,2016-10-31
674,CA-2018-122700,2018-11-26
675,CA-2015-120768,2015-12-19
676,US-2017-153129,2017-12-26
677,CA-2018-106852,2018-06-20
678,CA-2016-139731,2016-10-15
679,CA-2018-122735,2018-04-12
680,CA-2018-128160,2018-12-19
681,CA-2018-117695,2018-08-05
682,CA-2016-166135,2016-10-01
683,CA-2017-133725,2017-05-23
684,CA-2018-102337,2018-06-13
685,US-2015-112564,2015-04-23
686,CA-2016-145821,2016-05-01
687,US-2016-160150,2016-07-19
688,CA-2017-133711,2017-11-26
689,CA-2018-148474,2018-06-12
690,CA-2016-111297,2016-08-17
691,CA-2017-123722,2017-09-25
692,CA-2015-155271,2015-05-04
693,CA-2016-119907,2016-12-01
694,US-2017-128902,2017-03-11
695,CA-2017-152289,2017-08-26
696,US-2017-104794,2017-12-16
697,CA-2015-151708,2015-08-08
698,CA-2016-100769,2016-05-16
699,CA-2018-139199,2018-12-09
700,US-2016-161466,2016-09-24
701,CA-2018-164959,2018-07-11
702,US-2016-105676,2016-12-01
703,CA-2017-113138,2017-11-19
704,US-2018-104955,2018-03-19
705,CA-2017-121958,2017-11-13
706,CA-2018-121468,2018-11-19
707,US-2017-108455,2017-12-02
708,CA-2018-101210,2018-08-25
709,US-2017-108098,2017-10-14
710,CA-2015-119032,2015-11-27
711,CA-2016-140410,2016-11-03
712,CA-2015-136280,2015-11-29
713,CA-2018-151911,2018-04-30
714,CA-2018-166436,2018-11-24
715,CA-2018-139661,2018-10-30
716,CA-2015-123925,2015-12-17
717,CA-2018-152485,2018-09-04
718,CA-2017-141586,2017-10-17
719,CA-2018-130386,2018-11-12
720,CA-2017-100468,2017-11-24
721,CA-2016-153388,2016-08-01
722,CA-2018-154935,2018-12-24
723,CA-2017-134208,2017-09-17
724,CA-2018-108294,2018-12-10
725,CA-2018-103611,2018-09-12
726,CA-2018-100384,2018-06-24
727,CA-2018-112809,2018-08-18
728,US-2018-160759,2018-12-11
729,CA-2018-148446,2018-12-10
730,CA-2015-111059,2015-02-03
731,CA-2018-116204,2018-02-11
732,CA-2018-109946,2018-04-16
733,CA-2016-144806,2016-12-06
734,CA-2017-122392,2017-07-22
735,CA-2016-148432,2016-11-07
736,CA-2016-103793,2016-03-26
737,CA-2018-159884,2018-08-31
738,CA-2017-139885,2017-12-04
739,CA-2018-124086,2018-02-10
740,CA-2017-112389,2017-10-29
741,CA-2018-121888,2018-09-15
742,CA-2015-166884,2015-03-11
743,CA-2015-107181,2015-02-04
744,CA-2015-150245,2015-12-31
745,CA-2016-111395,2016-11-23
746,CA-2015-134278,2015-07-06
747,US-2018-124926,2018-11-13
748,CA-2017-159345,2017-06-17
749,CA-2015-130274,2015-05-03
750,CA-2018-158386,2018-10-16
751,CA-2016-111507,2016-02-06
752,CA-2018-120761,2018-09-04
753,CA-2017-109176,2017-05-09
754,CA-2016-112116,2016-03-16
755,CA-2017-126809,2017-04-09
756,CA-2015-105172,2015-04-04
757,CA-2018-107293,2018-09-05
758,US-2018-102890,2018-06-30
759,CA-2016-158554,2016-11-09
760,CA-2015-116239,2015-03-04
761,CA-2016-132101,2016-03-19
762,CA-2016-129112,2016-11-29
763,US-2018-152002,2018-06-11
764,CA-2018-165029,2018-11-26
765,US-2015-157385,2015-11-23
766,CA-2015-101602,2015-12-15
767,CA-2017-109057,2017-04-22
768,CA-2017-154403,2017-05-23
769,CA-2017-102456,2017-02-27
770,CA-2016-131338,2016-08-09
771,CA-2017-109911,2017-05-12
772,US-2017-132423,2017-04-15
773,CA-2016-122826,2016-06-23
774,CA-2015-117317,2015-10-19
775,CA-2016-118423,2016-03-24
776,CA-2018-149181,2018-05-08
777,CA-2018-132234,2018-10-16
778,CA-2018-158876,2018-11-19
779,CA-2017-164672,2017-05-08
780,US-2017-132857,2017-12-11
781,CA-2018-116645,2018-11-30
782,US-2017-115819,2017-04-19
783,CA-2015-156349,2015-05-26
